PM25,O3,WS,TEMP,RH,WD
28.1,26.0,1,28.0,75.0,93.0
22.5,24.0,1,29.0,73.0,115.0
21.9,16.0,1,26.0,84.0,92.0
13.5,18.0,1,28.0,75.0,92.0
12.3,23.0,1,29.0,69.0,107.0
10.8,26.0,1,30.0,65.0,128.0
7.9,24.0,1,30.0,64.0,140.0
8.1,21.0,1,29.0,67.0,132.0
9.5,20.0,1,29.0,70.0,124.0
11.3,19.0,1,28.0,71.0,119.0
9.3,16.0,1,27.0,78.0,110.0
8.1,13.0,1,27.0,81.0,110.0
9.9,9.0,1,26.0,84.0,109.0
12.3,13.0,2,26.0,86.0,115.0
16.4,17.0,1,25.0,87.0,111.0
9.8,16.0,1,25.0,92.0,109.0
12.2,3.0,1,25.0,93.0,109.0
13.2,2.0,1,25.0,93.0,105.0
9.7,2.0,1,25.0,93.0,126.0
12.0,1.0,1,24.0,90.0,120.0
10.9,5.0,1,23.0,80.0,119.0
11.4,11.479813664596273,0,23.0,84.0,106.0
10.2,13.208916033332045,1,25.0,81.0,95.0
7.3,11.0,1,28.0,65.0,93.0
7.2,11.479813664596273,1,29.0,61.0,125.0
6.9,2.0,1,30.0,61.0,99.0
9.5,11.479813664596273,1,30.0,59.0,126.0
12.4,1.0,1,30.0,62.0,113.0
14.4,5.0,1,30.0,63.0,111.0
13.0,3.0,1,30.0,64.0,150.0
16.4,1.0,1,30.0,61.0,133.0
7.6,11.479813664596273,1,29.0,63.0,147.0
